Date : 2025-03-17 22:39:08
Directory : d:\吾日三省吾身\项目开发\mahjong_all
Total : 48 files,  3731 codes, 466 comments, 615 blanks, all 4812 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Java               |         28 |      1,682 |        426 |        514 |      2,622 |
| JSON               |          4 |      1,414 |          3 |          7 |      1,424 |
| MS SQL             |          2 |        297 |         16 |         31 |        344 |
| XML                |          3 |        102 |         19 |         10 |        131 |
| CSS                |          1 |         70 |          0 |         10 |         80 |
| vue                |          2 |         63 |          0 |         10 |         73 |
| Markdown           |          2 |         52 |          0 |         23 |         75 |
| YAML               |          1 |         22 |          0 |          3 |         25 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| TypeScript         |          3 |          9 |          2 |          5 |         16 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         48 |      3,731 |        466 |        615 |      4,812 |
| mahjong_backend                                                                                                    |         33 |      2,150 |        461 |        578 |      3,189 |
| mahjong_backend (Files)                                                                                            |          2 |        149 |         19 |         30 |        198 |
| mahjong_backend\src                                                                                                |         31 |      2,001 |        442 |        548 |      2,991 |
| mahjong_backend\src\main                                                                                           |         30 |      1,998 |        442 |        546 |      2,986 |
| mahjong_backend\src\main\java                                                                                      |         27 |      1,679 |        426 |        512 |      2,617 |
| mahjong_backend\src\main\java\com                                                                                  |         27 |      1,679 |        426 |        512 |      2,617 |
| mahjong_backend\src\main\java\com\example                                                                          |         27 |      1,679 |        426 |        512 |      2,617 |
| mahjong_backend\src\main\java\com\example\mahjong                                                                  |         27 |      1,679 |        426 |        512 |      2,617 |
| mahjong_backend\src\main\java\com\example\mahjong (Files)                                                          |          1 |         13 |          0 |          3 |         16 |
| mahjong_backend\src\main\java\com\example\mahjong\common                                                           |          3 |        182 |         31 |         47 |        260 |
| mahjong_backend\src\main\java\com\example\mahjong\config                                                           |          2 |         48 |          2 |         16 |         66 |
| mahjong_backend\src\main\java\com\example\mahjong\controller                                                       |          4 |        568 |        127 |        189 |        884 |
| mahjong_backend\src\main\java\com\example\mahjong\entity                                                           |          6 |         99 |          0 |         12 |        111 |
| mahjong_backend\src\main\java\com\example\mahjong\exception                                                        |          1 |         21 |          7 |          5 |         33 |
| mahjong_backend\src\main\java\com\example\mahjong\mapper                                                           |          4 |         98 |         57 |         33 |        188 |
